idcolumn,trackingnumbercolumn
ltr_76c4bd40d59df11c,RR447081546US
ltr_c597eaccf679188c,RR447081175US
ltr_885c1d4ee55b5c5c,RR447081565US
ltr_e770e55eca755a55,RR447081577US
ltr_5875fd5fde95e780,RR447081189US
ltr_ddf58159de5854b6,RR447081501US
ltr_0ac5075a8b5a5504,RR447081515US
ltr_aa91bdc0cbd55c5e,RR447081550US
ltr_da40c81b55548aae,RR447081155US
ltr_169b854d469897eb,RR447081195US
ltr_f66c7e4a09cd0565,RR447081158US
ltr_46994841d5d708ec,RR447081161US
ltr_9dbe0151d7566b18,RR447081585US
ltr_9b5cba55d0a5a911,RR447081144US
